Sao Tome and Principe,Sao Tome,Africa,STP
Saudi Arabia,Riyadh,Asia,SAU
Senegal,Dakar,Africa,SEN
Serbia,Belgrade,Europe,SRB
Seychelles,Victoria,Africa,SYC
Sierra Leone,Freetown,Africa,SLE
Singapore,Singapore,Asia,SGP
Slovakia,Bratislava,Europe,SVK
Slovenia,Ljubljana,Europe,SVN
Solomon Islands,Honiara,Oceania,SLB
Somalia,Mogadishu,Africa,SOM
South Africa,Pretoria,Africa,ZAF
South Sudan,Juba,Africa,SSD
Spain,Madrid,Europe,ESP
Sri Lanka,Sri Jayawardenepura Kotte,Asia,LKA
Sudan,Khartoum,Africa,SDN
Suriname,Paramaribo,South America,SUR
Sweden,Stockholm,Europe,SWE
Switzerland,Bern,Europe,CHE
Syria,Damascus,Asia,SYR
Taiwan,Taipei,Asia,TW
Tajikistan,Dushanbe,Asia,TJK
Thailand,Bangkok,Asia,THA
Timor-Leste,Dili,Asia,TLS
Togo,Lome,Africa,TGO
Tonga,Nuku'alofa,Oceania,TON
Trinidad and Tobago,Port of Spain,North America,TTO
Tunisia,Tunis,Africa,TUN
Turkey,Ankara,Asia,TUR
Turkmenistan,Ashgabat,Asia,TKM
Tuvalu,Funafuti,Oceania,TUV
Uganda,Kampala,Africa,UGA
Ukraine,Kyiv,Europe,UKR
United Arab Emirates,Abu Dhabi,Asia,ARE
United Kingdom,London,Europe,GBR
Tanzania,Dodoma,Africa,TZA
United States of America,"Washington, D.C.",North America,USA
Uruguay,Montevideo,South America,URY
Uzbekistan,Tashkent,Asia,UZB
Vanuatu,Port Vila,Oceania,VUT
Venezuela,Caracas,South America,VEN
Vietnam,Hanoi,Asia,VNM
Yemen,Sana'a,Asia,YEM
Zambia,Lusaka,Africa,ZMB
Zimbabwe,Harare,Africa,ZWE
